region,suburb,occupation,occupation_count_2041,occupation_rank_2041,industry,industry_count_2041,industry_rank_2041
Brisbane - West,Enoggera,"Business, Human Resource and Marketing Professionals",651,top_2,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",475,top_2
Brisbane - West,Enoggera,ICT Professionals,626,top_3,Computer System Design and Related Services,438,top_3
Brisbane - North,Everton Park,Carers and Aides,987,top_1,Public Administration,629,top_1
Brisbane - North,Everton Park,Education Professionals,576,top_2,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",618,top_2
Brisbane - North,Everton Park,Specialist Managers,537,top_3,Social Assistance Services,445,top_3
Brisbane - South,Fairfield - Dutton Park,Specialist Managers,307,top_1,Food and Beverage Services,276,top_1
Brisbane - South,Fairfield - Dutton Park,Education Professionals,300,top_2,Social Assistance Services,256,top_2
Brisbane - South,Fairfield - Dutton Park,Carers and Aides,275,top_3,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",255,top_3
Brisbane - West,Fig Tree Pocket,Specialist Managers,381,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",379,top_1
Brisbane - West,Fig Tree Pocket,ICT Professionals,283,top_2,Computer System Design and Related Services,309,top_2
Brisbane - West,Fig Tree Pocket,Education Professionals,196,top_3,Medical and Other Health Care Services,214,top_3
Ipswich,Forest Lake - Doolandella,Carers and Aides,1333,top_1,Tertiary Education,1590,top_1
Ipswich,Forest Lake - Doolandella,Specialist Managers,1332,top_2,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",1329,top_2
Ipswich,Forest Lake - Doolandella,"Business, Human Resource and Marketing Professionals",1127,top_3,Food and Beverage Services,1038,top_3
Brisbane Inner City,Fortitude Valley,ICT Professionals,1365,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",1348,top_1
Brisbane Inner City,Fortitude Valley,"Business, Human Resource and Marketing Professionals",1216,top_2,Food and Beverage Services,1030,top_2
Brisbane Inner City,Fortitude Valley,Specialist Managers,1192,top_3,Computer System Design and Related Services,927,top_3
Brisbane - North,Geebung,Carers and Aides,236,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",251,top_1
Brisbane - North,Geebung,"Business, Human Resource and Marketing Professionals",222,top_2,Public Administration,239,top_2
